INSTNM,CITY,STABBR,ZIP,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL
South Texas College,McAllen,TX,78502-9701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas College of Law Houston,Houston,TX,77002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas Training Center,San Benito,TX,78586,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,78521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Austin,Round Rock,TX,78681-2300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Columbia,Columbia,SC,29203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-High Point,High Point,NC,27265-8320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Montgomery,Montgomery,AL,36116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Richmond,Glen Allen,VA,23060,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Savannah,Savannah,GA,31406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Savannah Online,Savannah,GA,31406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Tampa,Tampa,FL,33614-7095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Virginia Beach,Virginia Beach,VA,23452,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-West Palm Beach,Royal Palm Beach,FL,33411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southcentral Kentucky Community and Technical College,Bowling Green,KY,42101-3601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Arkansas College,Pine Bluff,AR,71603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Community College Area,Lincoln,NE,68510-2449,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Kentucky Community,Cumberland,KY,40823,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,63703-4507,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,19,24,19,24,NULL,NULL,22,22,22,NULL,1120,1120
Southeast Missouri State University,Cape Girardeau,MO,63701,0.8619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Technical College,Sioux Falls,SD,57107-1301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeast Texas Career Institute,Silsbee,TX,77656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Baptist College,Laurel,MS,39440-9989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Baptist Theological Seminary,Wake Forest,NC,27587-1889,0.9246,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern College-Charleston,North Charleston,SC,29406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern College-Charlotte,Charlotte,NC,28217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern College-Columbia,Columbia,SC,29210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern College-Miami Lakes,Miami Lakes,FL,33015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern College-West Palm Beach,West Palm Beach,FL,33409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Community College,West Burlington,IA,52655-0180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Community College,Whiteville,NC,28472-5422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Esthetics Institute,Columbia,SC,29201-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Free Will Baptist Bible College,Wendell,NC,27591-9072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Illinois College,Harrisburg,IL,62946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Louisiana University,Hammond,LA,70402,0.9021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,24,19,22,17,20,NULL,NULL,22,21,19,NULL,1105,1105
Southeastern Louisiana University - Albert Cammon Middle School,St. Rose,LA,700873616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105
Southeastern Louisiana University - Destrahan High School,Destrehan,LA,700474002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105
Southeastern Louisiana University - EBR Parish School System Prof Dev,Baton Rouge,LA,708145322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105
Southeastern Louisiana University - St Amant High School,St Amant,LA,707743413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1105
Southeastern Oklahoma State University,Durant,OK,74701-3347,0.7372,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,23,16,23,16,22,NULL,NULL,21,20,19,NULL,1065,1065
Southeastern Technical College,Vidalia,GA,30474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Technical Institute,South Easton,MA,2375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern University,Lakeland,FL,33801-6034,0.4814,490,610,450,570,410,530,550,510,470,19,24,18,25,16,24,NULL,NULL,22,22,20,NULL,1078,1078
Southern Adventist University,Collegedale,TN,37315-0370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Arkansas University Main Campus,Magnolia,AR,71753,0.6506,458,600,508,568,NULL,NULL,529,538,NULL,18,24,18,25,17,24,NULL,NULL,21,22,21,NULL,1085,1085
Southern Arkansas University Tech,Camden,AR,71701-1906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Health Institute,North Hollywood,CA,91601,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Health Institute (SOCHI) - North Hollywood,North Hollywood,CA,916012028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,NULL,NULL,NULL,NULL,NULL,465,570,NULL,NULL,518,NULL,NULL,NULL,NULL,NULL,NULL,8,10,NULL,NULL,NULL,9,NULL,NULL
Southern California Institute of Technology,Anaheim,CA,92801-3758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California Seminary,El Cajon,CA,92019-1108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern California University of Health Sciences,Whittier,CA,90604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Austin,Austin,TX,78744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Brownsville,Brownsville,TX,78520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,78414,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Harlingen,Harlingen,TX,78550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Pharr,Pharr,TX,78577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-San Antonio,San Antonio,TX,78221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-San Antonio,San Antonio,TX,78238-4114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Careers Institute-Waco,Waco,TX,76706-3756,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern College of Optometry,Memphis,TN,38104-2211,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Connecticut State University,New Haven,CT,06515-1355,0.6936,470,560,440,530,420,520,515,485,470,16,25,16,21,16,23,NULL,NULL,21,19,20,NULL,1002,1002
Southern Crescent Technical College,Griffin,GA,30223-2042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Illinois University-Carbondale,Carbondale,IL,62901-4512,0.6638,520,630,510,620,NULL,NULL,575,565,NULL,21,28,21,29,19,27,NULL,NULL,25,25,23,NULL,1169,1169
Southern Illinois University-Edwardsville,Edwardsville,IL,62026-1259,0.8567,510,610,510,610,440,570,560,560,505,20,26,20,26,18,26,6,8,23,23,22,7,1137,1137
Southern Maine Community College,South Portland,ME,04106-1698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Methodist University,Dallas,TX,75275-0221,0.4729,640,720,660,760,600,690,680,710,645,29,33,29,35,27,32,8,9,31,32,30,9,1405,1405
Southern Nazarene University,Bethany,OK,73008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern New Hampshire University,Manchester,NH,03106-1045,0.8816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Oklahoma Technology Center,Ardmore,OK,73401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Oregon University,Ashland,OR,97520,0.782,490,620,490,580,NULL,NULL,555,535,NULL,18,25,16,24,17,24,NULL,NULL,22,20,21,NULL,1093,1093
Southern Regional Technical College,Thomasville,GA,31792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern School of Beauty Inc,Durant,OK,74701-5008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern State Community College,Hillsboro,OH,45133-9406,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern States University,San Diego,CA,92110,0.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Technical College,Fort Myers,FL,33907-1108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Technical College,Orlando,FL,32809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Texas Careers Academy,McAllen,TX,78504-2569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Union State Community College,Wadley,AL,36276,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern University and A & M College,Baton Rouge,LA,70813,0.349,460,540,440,540,410,500,500,490,455,17,20,16,21,16,19,2,6,19,19,18,4,999,999
Southern University at New Orleans,New Orleans,LA,70126,0.6033,NULL,NULL,NULL,NULL,260,460,NULL,NULL,360,15,18,15,19,15,17,NULL,NULL,17,17,16,NULL,925,925
Southern University at Shreveport,Shreveport,LA,71107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern University Law Center,Baton Rouge,LA,70813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,999
Southern Utah University,Cedar City,UT,84720,0.7835,510,630,510,610,440,570,570,560,505,20,27,20,27,19,26,7,8,24,24,23,8,1135,1135
Southern Virginia University,Buena Vista,VA,24416,0.9803,477,612,487,590,450,550,545,539,500,19,26,18,27,17,25,4,10,23,23,21,7,1116,1116
Southern Wesleyan University,Central,SC,29630-1020,0.3503,468,560,480,593,NULL,NULL,514,537,NULL,17,23,16,23,16,23,NULL,NULL,20,20,20,NULL,1050,1050
Southern West Virginia Community and Technical College,Mount Gay,WV,25637,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY,10528,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Worcester County Regional Vocational School District,Charlton,MA,01507-1331,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southside College of Health Sciences,Colonial Heights,VA,23834,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southside Virginia Community College,Alberta,VA,23821,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Acupuncture College-Boulder,Boulder,CO,80301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,87505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Baptist University,Bolivar,MO,65613-2596,0.7086,440,600,450,565,NULL,NULL,520,508,NULL,19,25,18,25,17,25,NULL,NULL,22,22,21,NULL,1107,1107
Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,85282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Collegiate Institute for the Deaf,Big Spring,TX,79720-7298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Institute of Healing Arts,Tempe,AZ,85282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Minnesota State University,Marshall,MN,56258-5468,0.6391,457,542,450,545,325,540,500,498,433,18,24,16,23,17,24,NULL,NULL,21,20,21,NULL,1077,1077
Southwest Mississippi Community College,Summit,MS,39666-0000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest School of Business and Technical Careers-South Texas,McAllen,TX,78501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Technical College,Cedar City,UT,84720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Technology Center,Altus,OK,73521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Tennessee Community College,Memphis,TN,38103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Texas Junior College,Uvalde,TX,78801-6297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest University at El Paso,El Paso,TX,79925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest University of Visual Arts-Albuquerque,Albuquerque,NM,87102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest University of Visual Arts-Tucson,Tucson,AZ,85701,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Virginia Community College,Cedar Bluff,VA,24609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest Wisconsin Technical College,Fennimore,WI,53809-9778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwestern Adventist University,Keene,TX,76059,0.577,460,550,420,540,200,360,505,480,280,17,22,19,25,16,23,NULL,NULL,20,22,20,NULL,1008,1008
Southwestern Assemblies of God University,Waxahachie,TX,75165,0.8753,460,570,458,533,NULL,NULL,515,496,NULL,17,22,15,22,16,21,NULL,NULL,20,19,19,NULL,1022,1022
Southwestern Christian College,Terrell,TX,75160-4812,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwestern Christian University,Bethany,OK,73008,0.6206,475,545,425,540,410,560,510,483,485,16,20,15,20,16,19,NULL,NULL,18,18,18,NULL,982,982
Southwestern College,Chula Vista,CA,91910-7299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwestern College,Winfield,KS,67156-2499,0.5157,460,530,460,540,NULL,NULL,495,500,NULL,18,24,15,23,17,24,NULL,NULL,21,19,21,NULL,1052,1052
Southwestern College,Santa Fe,NM,87507,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwestern Community College,Creston,IA,50801,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
